channelId,channelTitle,videoId,weight,videoCount
UC9IbBVJ0tg549Mk6Ves-3gg,Ur SmartMaker Shorts,"whzjjaWRK24,leMefrvElYA,iMs6XYTQNAw,IJLhcgtMsPQ,WGbYlEOg9z8,BirGdQmXfoU,whzjjaWRK24,whzjjaWRK24,whzjjaWRK24",0.941480149401,9
UCJFMWWscsO-msPiLj42eXiQ,Apalapse,"YojL7UQTVhc,HXANUSBV-xQ,YojL7UQTVhc",0.941480149401,3
UCxbCDVe8TuzLbPFnxlC55Nw,Julia Trotti,"Z6J5nN45cKk,Z6J5nN45cKk,Z6J5nN45cKk,_MV9wmoWyoU,_MV9wmoWyoU,zm36D7yxw2w,UE_01EqTU3w,-b8QeATqTvA,4cTwmvUTxPw,OCT43_2MQi0,UR8ZnxBuPUo,4PqFfvO4Zh4,Z6J5nN45cKk,ZICwfQXLoPA,zm36D7yxw2w,_MV9wmoWyoU,4cTwmvUTxPw,4PqFfvO4Zh4,jR-gDHsph60,Z6J5nN45cKk",0.941480149401,20
UC61eTQ8xLAllu8KC33tPcuQ,Mike Chudley,"19aKGlWz2zI,J6jOo4ecPBc,TR041IiD0qA,qgA-kdtfDOs,qgA-kdtfDOs,wp44F5FLMbA,GRaagH97tlc,NBLeSDsETlg,NXF3A572SmI,ARIIeK8v0eU,19aKGlWz2zI,OkMMahkP-gI,J6jOo4ecPBc",0.9320653479069899,13
UCkJld-AoXurbT2jDnfM8qiA,Nigel Danson,"tftBVcBHue4,jAk_xhs0Rcw,niPmiExf_OQ,j-WJTDP0hbc,vyM8kZobfKI,zhpzHKry6eI,VaAUMoXZtII,vgOwKxj8AQA,vW-j9N-q880,r-TW4uC28ZM,hATu3TMrhuw,3EhWyd602fY,PntG8KEVjR8,ADjHnOtTXLY,vW-j9N-q880,vW-j9N-q880,s2jbUTXTCrQ,KDpbq2YNxzw,PetOdulc45A,N-HyTRGtdSA,N_zWA3ZtKi4,P_RDaOoebBM,P_RDaOoebBM,Ik6-hmQ_qQI",0.9320653479069899,24
UCGUSrx8dZxHVfpl5sI8CI8g,Matt Johnson,"UV5cvvYmJJI,UV5cvvYmJJI,UV5cvvYmJJI,UV5cvvYmJJI,UV5cvvYmJJI,6gYZuDZrx14,kTWdfopqhgc,MDFq5YGDltw,8kecTEwE1aI",0.9320653479069899,9
UCD8kD97bbQ1Y1YOjugJuuoA,Delaney Media,"PI3fK2x5rBY,PI3fK2x5rBY",0.9320653479069899,2
UCH_4ivcHglWLgGBTP9TTL5g,Adventure & Art,P221mOsOhx8,0.9320653479069899,1
UCnSAUHBwdAEPWeeIs8LTViA,Parker Photographic,"yhAmMUi2NmM,yhAmMUi2NmM,xbV8MBCjyQU,yhAmMUi2NmM,xbV8MBCjyQU,yhAmMUi2NmM,yhAmMUi2NmM,xbV8MBCjyQU,98ktgrHpeEE,yhAmMUi2NmM,yhAmMUi2NmM,yhAmMUi2NmM",0.9320653479069899,12
UCEyzNhga0ovRWSY6neMR7xQ,Dr. Calin Pop,PqEPOg9CHEE,0.9227446944279201,1
UCIlQVONwP6m1Z25TOw3cokw,Phone Film Academy,"AiZizhq1S2o,oijRcszJPrE,oijRcszJPrE",0.9227446944279201,3
UCpPRSsw9O7PM6ZoCWfbvx8A,Mister Graphics,"dGKsjretvZY,dGKsjretvZY",0.9227446944279201,2
UCV4mfcfhglnnD_zSa_qUYwA,Action Cam Guy,crieNBT_k9M,0.9227446944279201,1
UClhBjKu4Vg_uyEQIs8aB2sw,Jigar patel,"kagssgJJqzk,2Ud04u-6iCU,3AjucqfwWok,egrfnXRso4Y,1sHv9ghTslM",0.9227446944279201,5
UCiI-7hzV_tWNAuG03aroSKg,SLIDE studio,P--GqOV9AtE,0.9227446944279201,1
UCND8Z3sOuquLSIq1knW4YDg,Nature ,"nODoT6_K-FA,nODoT6_K-FA",0.9227446944279201,2
UC1IWR0fdTsnRuKz23JERPzw,Turi Productions,zf8rdreNr1A,0.9227446944279201,1
UCoKD8Umhzi6RTEqd6I88PXw,Haukland Photographers Clothing,"Ovx_5tVpdRc,Ovx_5tVpdRc,Ovx_5tVpdRc,Ovx_5tVpdRc",0.9227446944279201,4
UCJvwEFP3h4vdNStd_iOVNNA,MissySure Photography,s7pkue5xECw,0.9227446944279201,1
UCkfbJ_7DRe8h-AeApQK5TAA,lensboitoys,"2SMSLYPc5a8,2SMSLYPc5a8,B5cdL7Cmy0o,B5cdL7Cmy0o",0.9227446944279201,4
UC1Q5iU8ODtqQjKFZgz8JAPg,iPhone Photography School,"h3Df1gPaCH0,oHq4-KjiIfE,oHq4-KjiIfE,jqc7AVdiNUw,EOfzUDK6AmE,19MkyPxkeu4,PDbDKHegg50,-snekUgqDmY,S2vWFRFYBbg,E2yCPgue1Es,h3Df1gPaCH0,h3Df1gPaCH0,Z77CQO_xKQw,Z77CQO_xKQw,VHf0dN8pffo,oHq4-KjiIfE,QNkyChZ7PvQ,6JXCfQaEDBQ,JtpZcKOoh08,XaJWMpeCNAc,aqF8vDkHfmg,tJFBfIavcKU,lkX5riLJXDI,cgM8NgLIaeg,yxL1oyVvJLU,x8-v5ArASDU,8XiZji-s27w,zqqYyyVMLvs,k3uI3Tfjl9c,ELCl2NFqlf8,yGIXtIEQfCA,f7EnEmNJN7k,wGLOT1MvFDw,qijlp7Im0hM,ve42EPtEO_E,9MZdfAbAjtE,naHoBxhQ8Yc,KU-pZ893AyY,7bZ-_Y6WZ9k",0.9135172474836408,39
UCA7NPVw6lvFy0bYSitZs-PA,Martin Castein,"1DC59Dr2e1Q,1DC59Dr2e1Q,x6s3JQydKQI,_DyVFWHSXDQ,_DyVFWHSXDQ,ijeo3cxyXyM,lcWPnVLRBmc",0.9135172474836408,7
UCiKLUidT6sqXHpMmUzKxkRg,Alan Schaller,"eg52oFNKSgY,-wtNFR2OlL8,qIChWoYFu9k",0.9135172474836408,3
UCIWcYDDXXxyIUufuFv_Hykw,Phloshop,"kplt-eUunt8,kplt-eUunt8,kplt-eUunt8,kplt-eUunt8",0.9135172474836408,4
UCK8a56y4aVNhlpsJ1f3ZA4Q,Tomorrows Filmmakers,"HTUjJoMNWqo,HTUjJoMNWqo,HTUjJoMNWqo",0.9135172474836408,3
UCujr_HrX3ThMb34DV5YXHIg,Mark Denney,"qqemRpV-_Wo,U4UJITBllhs,m1nO6xE4Yxw,K9s-gfrBVe8,U3SdhIydFxM,ii4UHIHefgQ,qD-zAB9axGc,Pzl_i0tiFWs,WnCRdp-R80w,ossMElY25nA,hnUoqSUDS_g,gDPGN5ml70s,Kv3kByI373M,YQQ1qwYRSuk,Smbi2j64oOE,_vSfm-GCdcc,xS3PIZGvk_8,l_WDBtM0w-g,m1nO6xE4Yxw,ii4UHIHefgQ,yLsj3EM5Yu0,yLsj3EM5Yu0",0.9135172474836408,22
UCXqrKPByJWWKMKhkUYVkLhg,Tim Jamieson,"-r9SyKqIXkQ,-jFIynxxX4Q,4jEa4iIofVA,-jFIynxxX4Q,4jEa4iIofVA,S_HZLx1bCV8,yZ_yveFHGEA",0.9135172474836408,7
UCPzbyJ_0GV80huiKWBAif8w,Sahil Edits,"8XuhvfpM-9E,ykU4LKWX7gM",0.9135172474836408,2
UCxhPkNnb4c82owMdEIHUAOg,THAT ICELANDIC GUY.,"Nzf8M4HiEUM,TpUIGW23FT4,7jBnfbEEsiQ,9t2L8dnJE0w,mZXkhhd249c,6hFB-lpj90w,7jBnfbEEsiQ,TpUIGW23FT4,eHkjEapFcYo,_fB3qAQmkCE,7jBnfbEEsiQ,9t2L8dnJE0w",0.9135172474836408,12
